Response,contrast,estimate,SE,df,t.ratio,p.value
pod_fresh_weight_g,T2 - T4,-3.9333333333333353,0.9184528052957082,10,-4.282564450404118,0.010882990579714757
pod_fresh_weight_g,T3 - T4,-6,0.9184528052957082,10,-6.532725432819839,4.90695063457669e-4
pod_dry_weight_g,T0 - T1,-1.7000000000000024,0.929037733954392,10,-1.8298503256310772,0.4092000457534065
pod_dry_weight_g,T0 - T2,-1.3333333333333337,0.9290377339543915,10,-1.4351767259851578,0.6212118336366136
pod_dry_weight_g,T0 - T3,-1.7333333333333343,0.9290377339543916,10,-1.8657297437807054,0.39197189529196974
pod_dry_weight_g,T0 - T4,-3.6666666666666674,0.9290377339543917,10,-3.946735996459183,0.018130007996057462
pod_dry_weight_g,T1 - T2,0.3666666666666687,0.9290377339543918,10,0.39467359964592036,0.9940319519593297
pod_dry_weight_g,T1 - T3,-0.03333333333333188,0.9290377339543918,10,-0.03587941814962736,0.9999995498234692
pod_dry_weight_g,T1 - T4,-1.966666666666665,0.9290377339543918,10,-2.1168856708281045,0.28466465276859354
pod_dry_weight_g,T2 - T3,-0.4000000000000006,0.9290377339543917,10,-0.4305530177955478,0.991703831987334
pod_dry_weight_g,T2 - T4,-2.333333333333334,0.9290377339543917,10,-2.5115592704740255,0.16364121270998544
pod_dry_weight_g,T3 - T4,-1.9333333333333331,0.9290377339543918,10,-2.081006252678477,0.2985204662770218
pods_per_plant,T0 - T1,-0.6666666666666674,0.7302967433402215,10,-0.9128709291752778,0.8856306720174407
pods_per_plant,T0 - T2,-0.3333333333333337,0.7302967433402212,10,-0.4564354645876391,0.9896715605247495
pods_per_plant,T0 - T3,-0.666666666666667,0.7302967433402212,10,-0.9128709291752776,0.8856306720174408
pods_per_plant,T0 - T4,-2.0000000000000004,0.7302967433402212,10,-2.7386127875258324,0.11679525611727237
pods_per_plant,T1 - T2,0.3333333333333337,0.7302967433402214,10,0.45643546458763895,0.9896715605247495
pods_per_plant,T1 - T3,4.440892098500626e-16,0.7302967433402213,10,6.080941944488119e-16,1
